'PriemData','pData','Laikas','Pradzia','Pabaiga','Organizacija','avAprasymas','avPranesta','IskvietimoVieta','Darbai','Medziagos','SumaSuPVM'
2016-07-17,'16.07.17','04:45','04:55','05:50','UAB "Fabeta " nuo 16 val. 30 min. iki 7 val. 30 min. d.dien.ir visomis nedarbo bei ðvenèiø dienomis.(dël neaiðk. skambinti energetikui - Edvardas Trinkûnas tel. 867472732, 2','Teka ið virðaus',,'Fabijoniðkiø 43','2.2. Avarinio ekipaþo atvykimas pagal iðkvietimà. Situacijos ávertinimas. Teka ið virðaus, virðutiniame 48-ame bute durø neatidaro. Raktø prie uþdaromos armatûros priëjimo ir komunikacijø iðdëstymo suradimas. Karðto vandens tiekimo iðjungimas namui uþdarant ventilá. Vandens iðleidimas ið sistemos atidarius nuleidëjà  D15. Uþpilti apatiniai butai nuo 10-to iki 1-mo aukðto.','',21.864699999999997
2016-07-17,'16.07.17','08:35','08:50','09:20','380-oji DNSB, _','Uþsikimðo kanalizacija virtuvëje',,'Mechanikø 97','1.1. Avarinio ekipaþo atvykimas pagal iðkvietimà. Nuotekø tinklo apþiûra  ir patikrinimas. Sifono po plautuve iðardymas ir iðvalymas. Buto vamzdþiø valymas kai skersmuo iki 100 mm, ilgis iki 5 m su gyvatuku.  Sifono surinkimas  ir nuotekø nutekëjimo patikrinimas vandens srove.','',32.742599999999994
2016-07-17,'16.07.17','09:10','09:20','10:10','UAB "Verkiø bûstas " (Tel. 2477330; 862020601), _','Uþsikimðo kanalizacija rûsyje',,'Popieriaus 48','1.5. Avarinio ekipaþo atvykimas pagal iðkvietimà. Nuotekø tinklo apþiûra. Pravalos dangèio nuëmimas. Bendro stovo vamzdþiø valymas elektrine freza, kai skersmuo iki 150 mm., ilgis daugiau kaip 10 m.. Pravalos dangèio uþdëjimas. Nuotekø nutekëjimo patikrinimas vandens srove. ','',48.3879
2016-07-17,'16.07.17','10:00','10:50','11:40','UAB "Naujoji Pilaitë" (Tel. 2307414; 865565023), 11','Uþsikimðo kanalizcija',,'Kanto  I. al.  13','1.5. Avarinio ekipaþo atvykimas pagal iðkvietimà. Nuotekø tinklo apþiûra. Pravalos dangèio nuëmimas. Bendro stovo vamzdþiø valymas elektrine freza, kai skersmuo iki 150 mm., ilgis daugiau kaip 10 m.. Pravalos dangèio uþdëjimas. Nuotekø nutekëjimo patikrinimas vandens srove. ','',48.3879
2016-07-17,'16.07.17','10:40','11:10','11:50','UAB "ADMI" ( kont.tel. 865056203,2307016; 865565023), 114/2014','Uþsikimðo kanalizacija parkinge',,'Vilniaus (Grigiðkës) 67','1.5. Avarinio ekipaþo atvykimas pagal iðkvietimà. Nuotekø tinklo apþiûra. Pravalos dangèio nuëmimas. Bendro stovo vamzdþiø valymas elektrine freza, kai skersmuo iki 150 mm., ilgis daugiau kaip 10 m.. Pravalos dangèio uþdëjimas. Nuotekø nutekëjimo patikrinimas vandens srove. ','',48.3879
2016-07-17,'16.07.17','13:20','13:50','15:40','98-oji DNSB "Þiburëlis", 615/12','Teka vanduo bute',,'Tuskulënø 14','2.10. Avarinio ekipaþo atvykimas pagal iðkvietimà. Sistemos apþiûra ir gedimø nustatymas. Vandens tiekimo iðjungimas butui uþdarant ventilá. Vandens iðleidimas ið vamzdþiø. Sugedusiø ventiliø demontavimas ir sriegiø  iðvalymas bei  patikrinimas. Naujø ventiliø D15 mm montavimas po kriauklë, apvyniojant sriegá lino pluoðtu su hermetiku (apvyniojant  teftonine juosta, pakeitus tarpines). Sistemos uþpildymas vandeniu ir sandarumo patikrinimas.','Sujungimas  1/2 1 vnt; Ventilis vand.1/2 1 vnt',39.9784
2016-07-17,'16.07.17','15:20','15:40','16:10','243-oji DNSB  "Gedvydþiai", _','Uþsikimðo kanalizacija 1-ame aukðte virtuvëje','Praneðti 243-oji DNSB  "Gedvydþiai"','S. Neries 53','2.1. Avarinio ekipaþo atvykimas pagal iðkvietimà. Situacijos ávertinimas. Kanalizacija pravalyti negalime, nes nëra raktø nuo 39-to sandëliuko, kur randasi pravalà. Ið buto pravalyti negalime - nëra priëjimoprie stovo. Reikiamà stovo pagal komunikacijø iðdëstymà suradimas. Karðto ir ðalto vandens tiekimo iðjungimas stovams uþdarant ventilius. ','',22.5786
2016-07-17,'16.07.17','15:45','16:20','17:00','UAB "Fabeta " nuo 16 val. 30 min. iki 7 val. 30 min. d.dien.ir visomis nedarbo bei ðvenèiø dienomis.(dël neaiðk. skambinti energetikui - Edvardas Trinkûnas tel. 867472732, 2','Uþsikimðo kanalizacija 1-ame aukðte',,'S. Neries 27','1.3. Avarinio ekipaþo atvykimas pagal iðkvietimà. Nuotekø tinklo apþiûra  ir patikrinimas. Bendro stovo  vamzdþiø valymas, kai skersmuo iki 150 mm, ilgis daugiau kaip10m su gyvatuku.  Pravalos dangèio uþdëjimas ir nuotekø nutekëjimo patikrinimas vandens srove.','',39.7969
2016-07-17,'16.07.17','16:05','16:20','16:50','UAB "Corpus A" tel. 868530311(darbo d.- nuo 17 val. iki 8 val,.poils.ir ðven.d-.visà parà, )   , 154/15/s-21504','Nëra elektros bendruose patalpose',,'Kauno 30','4.1. Avarinio ekipaþo atvykimas pagal iðkvietimà.  Srovës ir átampos parametrø matavimas atskiruose fazëse bei kontaktø patikrinimas. Elektros atjungimo prieþasties nustatymas. Automato ájungimas ir elektros tiekimo atnaujinimas bendrame tinkle laiptines elektros skyde. ','',23.3893
2016-07-17,'16.07.17','17:35','17:50','18:30','UAB "Ðilëja " (Tel. 2466644), _','Nëra elektros bute',,'Ukmergës 226','4.2. Avarinio ekipaþo atvykimas pagal iðkvietimà. Elektros instaliacijos ir plombø apþiûra. Srovës  ir átampos parametrø matavimas atskiruose fazëse bei kontaktø patikrinimas. Gedimo pobûdþio ir vietos nustatymas. Kontaktø remontas ir elektros tiekimo atnaujinimas vidaus tinkle laiptinës elektros skyde.','Laidas instal.1x40.0 5 m',28.5076
2016-07-17,'16.07.17','18:10','18:20','19:00','UAB "Jurita" - d. d. nuo 7-30 iki 16-30, kont. tel. 2426518, 860613838, , 50/2014','Uþsikimðo kanalizacija rûsyje',,'Justiniðkiø 54','1.5. Avarinio ekipaþo atvykimas pagal iðkvietimà. Nuotekø tinklo apþiûra. Pravalos dangèio nuëmimas. Bendro stovo vamzdþiø valymas elektrine freza, kai skersmuo iki 150 mm., ilgis daugiau kaip 10 m.. Pravalos dangèio uþdëjimas. Nuotekø nutekëjimo patikrinimas vandens srove. ','',48.3879
2016-07-17,'16.07.17','18:10','19:05','19:45','225-oji DNSB  "Juna", _','Uþsikimðo kanalizacija virtûvëje',,'Taikos 70','1.4. Avarinio ekipaþo atvykimas pagal iðkvietimà. Nuotekø tinklo apþiûra. Pravalos dangèio nuëmimas. Bendro stovo vamzdþiø valymas elektrine freza, kai skersmuo iki 150 mm., ilgis < 10 m.. Pravalos dangèio uþdëjimas. Nuotekø nutekëjimo patikrinimas vandens srove. ','',45.9195
