'PriemData','pData','Laikas','Pradzia','Pabaiga','Organizacija','avAprasymas','avPranesta','IskvietimoVieta','Darbai','Medziagos','SumaSuPVM'
2016-11-14,'16.11.14','08:15','08:30','09:00','Nëra sutarties','Nenuteka nuotëkos','Nukreipta UAB "Vilniaus vandenys" tel. 1889','Kirtimø 33','1.10. Avarinio ekipaþo atvykimas pagal iðkvietimà. Ðulinio dangèio nuëmimas ir uþdëjimas. Avarinës situacijos ávertinimas ir avarijos pobûdþio nustatymas. Nustatyta, kad pilni trys ðuliniai. Nukreipta UAB "Vilniaus vandenys" tel. 1889','',18.827600000000003
2016-11-14,'16.11.14','09:05','09:20','10:10','DNSB Jonaþoliø g. 4, _','Uþsikimðo kanalizacija bute',,'Jonaþoliø 4','1.1. Avarinio ekipaþo atvykimas pagal iðkvietimà. Nuotekø tinklo apþiûra  ir patikrinimas. Sifono po plautuve iðardymas ir iðvalymas. Buto vamzdþiø valymas kai skersmuo iki 100 mm, ilgis iki 5 m su gyvatuku.  Sifono surinkimas  ir nuotekø nutekëjimo patikrinimas vandens srove.','',27.2976
2016-11-14,'16.11.14','09:35','09:50','10:30','Nëra sutarties','Uþsikimðo kanalizacija',,'Subaèiaus 14','1.5. Avarinio ekipaþo atvykimas pagal iðkvietimà. Nuotekø tinklo apþiûra. Pravalos dangèio nuëmimas. Bendro stovo vamzdþiø valymas elektrine freza, kai skersmuo iki 150 mm., ilgis daugiau kaip 10 m.. Pravalos dangèio uþdëjimas. Nuotekø nutekëjimo patikrinimas vandens srove. ','',40.329299999999994
2016-11-14,'16.11.14','11:05','11:15','11:45','Nëra sutarties','Uþsikimðo kanalizacija',,'Tyzenhauzø 49D','1.4. Avarinio ekipaþo atvykimas pagal iðkvietimà. Nuotekø tinklo apþiûra. Pravalos dangèio nuëmimas. Vamzdþiø valymas elektrine freza, kai skersmuo iki 150 mm., ilgis < 10 m.. Pravalos dangèio uþdëjimas. Nuotekø nutekëjimo patikrinimas vandens srove.         ','',38.2602
2016-11-14,'16.11.14','16:30','17:00','17:35','UAB "Senamiesèio ûkis " (Tel. 2611695, 2627890), _','Silpnai ðilo radiatoriai','','Ðv.Jono 9','1.10. Avarinio ekipaþo atvykimas pagal iðkvietimà. Avarinës situacijos patikrinimas ir ðildymo tiekimo sutrikimo prieþasties nustatymas. Nustatyta, kad radiatoriai ðila  pagal temperatûriná reþimà. ','',15.6937
2016-11-14,'16.11.14','18:00','18:30','18:50','UAB "ADMI" ( 865056203,2307016; 865565023) nereaguoti á gyvent.iðkvietim.dël prieðg.sist. dël to kreip. á Saugos g. tel. 865500554), 114/2014','Nëra elektros bute',,'Polocko 43','4.2. Avarinio ekipaþo atvykimas pagal iðkvietimà. Elektros instaliacijos ir plombø apþiûra. Srovës  ir átampos parametrø matavimas atskiruose fazëse bei kontaktø patikrinimas. Gedimo pobûdþio ir vietos nustatymas. Kontaktø remontas ir elektros tiekimo atnaujinimas bendrame tinkle laiptinës elektros skyde.','',23.752299999999997
2016-11-14,'16.11.14','18:55','19:00','19:25','UAB "Ðilëja " (Tel. 2466644), _','Teka ið radiatoriaus',,'Gelvonø 45','1.10. Avarinio ekipaþo atvykimas pagal iðkvietimà. Avarinës situacijos patikrinimas ir avarijos pobûdþio nustatymas. Nustatyta, kad trûko radiatorius, reikalingas keitimas, ðildymas kambariuje jau buvo atjungtas.','',15.6937
2016-11-14,'16.11.14','19:30','19:35','20:20','UAB "Ðilëja " (Tel. 2466644), _','Uþsikimðo kanalizacija',,'Gelvonø 7','1.5. Avarinio ekipaþo atvykimas pagal iðkvietimà. Nuotekø tinklo apþiûra ir avarijos nustatymas. Bendro stovo vamzdþiø valymas elektrine freza, kai skersmuo iki 150 mm., ilgis daugiau kaip 10 m..  Nuotekø nutekëjimo patikrinimas vandens srove. Nëra revizijos dangèio.','',40.317200000000006
2016-11-14,'16.11.14','19:30','19:50','20:30','Nëra sutarties','Uþsikimðo kanalizacija',,'Pamënkalnio 34A','1.5. Avarinio ekipaþo atvykimas pagal iðkvietimà. Nuotekø tinklo apþiûra. Pravalos dangèio nuëmimas. Bendro stovo vamzdþiø valymas elektrine freza, kai skersmuo iki 150 mm., ilgis daugiau kaip 10 m.. Pravalos dangèio uþdëjimas. Nuotekø nutekëjimo patikrinimas vandens srove. ','',40.329299999999994
2016-11-14,'16.11.14','19:30','19:50','20:35','UAB "Corpus A" tel. 868530311(darbo d.- nuo 17 val. iki 8 val,.poils.ir ðven.d-.visà parà, )   , 154/15/s-21504','Nëra karðto vandens ir ðildymo','Praneðti  UAB "Corpus A" tel. 868530311','Sviliðkiø 10','1.10. Avarinio ekipaþo atvykimas pagal iðkvietimà. Avarinës situacijos patikrinimas ir avarijos pobûdþio nustatymas. Nustatyta, kad nërakarðto vandens ið ðildymo - nëra rakto nuo ðilumos mazgo. Telefonai 868530311,870080008 neatsako.','',15.6937
2016-11-14,'16.11.14','20:05','21:00','21:30','781-oji DNSB, 682/13','Dega laidai',,'Skroblø 6','4.2. Avarinio ekipaþo atvykimas pagal iðkvietimà. Elektros instaliacijos ir plombø apþiûra. Srovës  ir átampos parametrø matavimas atskiruose fazëse bei kontaktø patikrinimas. Gedimo pobûdþio ir vietos nustatymas. Kontaktø remontas ir elektros tiekimo atnaujinimas vidaus tinkle paskirstimo deþutëje. Reikilingas instaliacijos keitimas, ðeimininke informuota.','',23.752299999999997
