'PriemData','pData','Laikas','Pradzia','Pabaiga','Organizacija','avAprasymas','avPranesta','IskvietimoVieta','Darbai','Medziagos','SumaSuPVM'
2017-01-29,'17.01.29','15:20','16:00','16:25','UAB ,,Yglë pastatø valdymas" kvieèia tik atsak.asm., 715/14','Nuotëkos uþlieja rûsy',,'Virðuliðkiø 30','1.10. Avarinio ekipaþo atvykimas pagal iðkvietimà. Ðulinio dangèio nuëmimas ir uþdëjimas. Avarinës situacijos ávertinimas ir avarijos pobûdþio nustatymas. Nustatyta, kad pilnas nuotëkø ðulinis. Perduota UAB „Vilniaus vandenys“  16:20 val.','',18.827600000000003
2017-01-29,'17.01.29','15:45','16:50','17:40','UAB "Corpus A" tel. 868530311(darbo d.- nuo 17 val. iki 8 val,.poils.ir ðven.d-.visà parà, )   , 154/15/s-21504','Uþsikimðo kanalizacija ',,'Liepkalnio 83','1.5. Avarinio ekipaþo atvykimas pagal iðkvietimà. Nuotekø tinklo apþiûra. Pravalos dangèio nuëmimas. Bendro stovo vamzdþiø valymas elektrine freza, kai skersmuo iki 150 mm., ilgis daugiau kaip 10 m.. Pravalos dangèio uþdëjimas. Nuotekø nutekëjimo patikrinimas vandens srove. ','',48.3879
2017-01-29,'17.01.29','15:45','17:55','18:45','UAB "Senamiesèio ûkis " (Tel. 2611695, 2627890), _','Uþsikimðo kanalizacija',,'Ðv.Mykolo 14','1.5. Avarinio ekipaþo atvykimas pagal iðkvietimà. Nuotekø tinklo apþiûra. Pravalos dangèio nuëmimas. Bendro stovo vamzdþiø valymas elektrine freza, kai skersmuo iki 150 mm., ilgis daugiau kaip 10 m. pro klozeta. Pravalos dangèio uþdëjimas. Nuotekø nutekëjimo patikrinimas vandens srove. ','',48.3879
2017-01-29,'17.01.29','16:00','16:35','17:10','414-oji DNSB  "Gabija", _','Trûko ventilis bute',,'Gabijos 9','2.10. Avarinio ekipaþo atvykimas pagal iðkvietimà. Sistemos apþiûra ir gedimø nustatymas. Sugedusiø ventiliø  demontavimas ir sriegiø  iðvalymas bei  patikrinimas. Naujø ventiliø D15 mm montavimas, apvyniojant sriegá lino pluoðtu su hermetiku. Sistemos uþpildymas vandeniu ir sandarumo patikrinimas.','Ventilis 1/2 1 vnt',39.373399999999994
2017-01-29,'17.01.29','17:00','17:20','18:15','UAB ,,Yglë pastatø valdymas" kvieèia tik atsak.asm., 715/14','Uþsikimðo kanalizacija',,'Virðuliðkiø 30','1.5. Avarinio ekipaþo atvykimas pagal iðkvietimà. Nuotekø tinklo apþiûra. Pravalos dangèio nuëmimas. Bendro stovo vamzdþiø valymas elektrine freza, kai skersmuo iki 150 mm., ilgis daugiau kaip 10 m.. Pravalos dangèio uþdëjimas. Nuotekø nutekëjimo patikrinimas vandens srove. ','',48.3879
2017-01-29,'17.01.29','19:30','19:45','20:30','939-oji DNSB "Paðilaièiai", _','Uþsikimðo kanalizacija',,'Paðilaièiø 16','1.1. Avarinio ekipaþo atvykimas pagal iðkvietimà. Nuotekø tinklo apþiûra  ir patikrinimas. Sifono po plautuve iðardymas ir iðvalymas. Buto vamzdþiø valymas kai skersmuo iki 100 mm, ilgis iki 5 m su gyvatuku.  Sifono surinkimas  ir nuotekø nutekëjimo patikrinimas vandens srove.','',32.742599999999994
2017-01-29,'17.01.29','21:10','21:45','22:00','Nëra sutarties','Teka prie skaitiklio',,'Stuokos Gucevièiaus 4','1.10. Avarinio ekipaþo atvykimas pagal iðkvietimà. Avarinës situacijos patikrinimas ir avarijos pobûdþio nustatymas. Nustatyta, kad reikalingas ðalto vandens skaitiklio D25 sujungimo keitimas.','',15.6937
2017-01-29,'17.01.29','22:45','23:05','23:50','Nëra sutarties','Prateka apðildymo sistema',,'Birþiðkø 78','2.8. Avarinio ekipaþo atvykimas pagal iðkvietimà. Sistemos apþiûra ir gedimo nustatymas.  Dalinis verþlës iðsukimas ir sriegio patikrinimas. Verþlës paverþimas apvyniojant sriegá lino pluoðtu su hermetiku arba uþtepant hermetiko. Sistemos uþpildymas vandeniu ir sandarumo patikrinimas.','',21.8768
2017-01-29,'17.01.29','00:15','00:30','01:10','565-oji DNSB (apie avarijas praneðti tel. 868480393), 611/12','Prateka gyvatukas',,'Kalvarijø 286c','2.3. Avarinio ekipaþo atvykimas pagal iðkvietimà. Avarinës situacijos ávertinimas. Prarûdijusios arba trukusios vamzdþio vietos suradimas, daþø ir rûdþiø nuvalymas. Guminës tarpinës uþdëjimas. Spaustuvo D20 árengimas gyvatukui uþverþiant  varþtais. Taisomos vietos sandarumo patikrinimas.','Metalo apkaba d-20 1 vnt',29.3667
2017-01-29,'17.01.29','08:30','19:20','20:10','UAB "Fabeta " nuo 16 val. 30 min. iki 7 val. 30 min. d.dien.ir visomis nedarbo bei ðvenèiø dienomis.(dël neaiðk. skambinti energetikui - Edvardas Trinkûnas tel. 867472732, 2','Reikalingi suvirinimo darbai',,'Fabijoniðkiø 17','2.20. Avarinio ekipaþo atvykimas pagal iðkvietimà. Sistemos  vamzdþiø apþiûra ir gedimø nustatymas. Trûkusiø arba prarûdijusiø karðto vandens vamzdþiø D32 nuvalymas nuo rudþiø ir daþø ir uþvirinimas 38-ame bute techn. spintoje. Sistemos uþpildymas vandeniu iki norminio spaudimo ir suvirinimo siûliø sandarumo patikrinimas.','',57.9953
2017-01-29,'17.01.29','09:00','11:15','12:00','795-oji DNSB , 670/13','Nëra elektros bute','Perduoti ESO','Jaunimo skg. 2','4.2. Avarinio ekipaþo atvykimas pagal iðkvietimà. Elektros instaliacijos ir plombø apþiûra. Srovës  ir átampos parametrø matavimas atskiruose fazëse bei kontaktø patikrinimas. Gedimo pobûdþio ir vietos nustatymas. Kontaktø remontas ir elektros tiekimo atnaujinimas vidaus tinkle laiptinës elektros skyde. Nuimtos plombos nuo ávado ir elektros skaitiklio sk. Nr.60534406, par.452','',28.5076
2017-01-29,'17.01.29','09:15','09:45','10:55','UAB "Fabeta " nuo 16 val. 30 min. iki 7 val. 30 min. d.dien.ir visomis nedarbo bei ðvenèiø dienomis.(dël neaiðk. skambinti energetikui - Edvardas Trinkûnas tel. 867472732, 2','Nëra karðto vandens, neðila gyvatukai',,'L. Giros 80','4.1. Avarinio ekipaþo atvykimas pagal iðkvietimà.  Srovës ir átampos parametrø matavimas atskiruose fazëse bei kontaktø patikrinimas. Elektros atjungimo prieþasties nustatymas. Automato ájungimas, cirkuliacinio siurblio paleidimas ir elektros tiekimo atnaujinimas bendrame tinkle rûsio elektros skyde. ','',23.788600000000003
2017-01-29,'17.01.29','09:30','16:00','16:30','UAB "ADMI" ( 865056203,2307016; 865565023) nereaguoti á gyvent.iðkvietim.dël prieðg.sist. dël to kreip. á Saugos g. tel. 865500554), 114/2014','Pastovus cipimas butuose ið ðilumos mazgo',,'Minties 15','1.10. Avarinio ekipaþo atvykimas pagal iðkvietimà. Avarinës situacijos patikrinimas ir avarijos pobûdþio nustatymas. Nustatyta, kad atvykus avarija neaptikta, Paðaliniø garsø nëra. Paraiðka nebuvo atðaukta. 21:00 -21:40 val. Vaþiavom dar kartà -  uþdarëm ir atidarëm vandeni namui ir stovui - uþimàs dalinai iðnyko. Rytoj kreipsis á "ADMI".','',15.6937
2017-01-29,'17.01.29','09:35','09:40','10:20','UAB Gusto namai, _','Uþsikimðo kanalizacija',,'Laisvës  pr. 77b','1.4. Avarinio ekipaþo atvykimas pagal iðkvietimà. Nuotekø tinklo apþiûra. Pravalos dangèio nuëmimas. Bendro stovo vamzdþiø valymas elektrine freza, kai skersmuo iki 150 mm., ilgis < 10 m.. Pravalos dangèio uþdëjimas. Nuotekø nutekëjimo patikrinimas vandens srove.         ','',45.9195
2017-01-29,'17.01.29','09:50','10:30','11:05','801-oji daugiabuèiø namø savininkø bendrija, _','Uþsikimðo kanalizacija',,'Laisvës  pr. 121','1.10. Avarinio ekipaþo atvykimas pagal iðkvietimà. Ðulinio dangèio nuëmimas ir uþdëjimas. Avarinës situacijos ávertinimas ir avarijos pobûdþio nustatymas. Nustatyta, kad kanalizacija pravalyti negalime, reikalingas klozeto nuemimas.','',18.827600000000003
2017-01-29,'17.01.29','10:00','11:55','12:15','UAB "SERVICO" (Tel. 861568173), _','Teka prie gyvatuko','Praneðti UAB "SERVICO" (Tel. 861568173) ,  info pamainoms','Marcinkevièiaus M. 5','2.1. Avarinio ekipaþo atvykimas pagal iðkvietimà. Situacijos ávertinimas. Raktø prie uþdaromos armatûros priëjimo ir reikiamà stovo pagal komunikacijø iðdëstymà suradimas. Karðto vandens tiekimo iðjungimas stovui uþdarant ventilá. 32-ame bute trûko sujungimas prie gyvatuko, tvarkys patys. ','',22.5786
2017-01-29,'17.01.29','10:55','11:10','11:14','414-oji DNSB  "Gabija", _','Uþsikimðo kanalizacija',,'Gabijos 81','1.5. Avarinio ekipaþo atvykimas pagal iðkvietimà. Nuotekø tinklo apþiûra. Pravalos dangèio nuëmimas. Bendro stovo vamzdþiø valymas elektrine freza, kai skersmuo iki 150 mm., ilgis daugiau kaip 10 m.. Pravalos dangèio uþdëjimas. Nuotekø nutekëjimo patikrinimas vandens srove. ','',48.3879
2017-01-29,'17.01.29','11:15','12:25','13:10','UAB "Castrade service" (Tel. 867918981; 2316378) darbo.d. nuo 16val.30min. iki 8val.,, penktadiená  nuo 15val.30min..iki 8val., 2/2014','Uþsikimðo kanalizacija ',,'Laisvës  pr. 70','1.2. Avarinio ekipaþo atvykimas pagal iðkvietimà. Nuotekø tinklo apþiûra  ir patikrinimas. Bendro stovo vamzdþiø valymas kai skersmuo iki 100 mm, ilgis iki 10 m su gyvatuku tarp 1 -2 aukðtø ið rûsio. Nutekëjimo patikrinimas vandens srove.','',38.574799999999994
2017-01-29,'17.01.29','11:30','13:15','13:50','UAB "Jurita" - d. d. nuo 7-30 iki 16-30, kont. tel. 2426518, 860613838, , 50/2014','Uþsikimðo kanalizacija rûsyje',,'Taikos 111','1.5. Avarinio ekipaþo atvykimas pagal iðkvietimà. Nuotekø tinklo apþiûra. Pravalos dangèio nuëmimas. Bendro stovo vamzdþiø valymas elektrine freza, kai skersmuo iki 150 mm., ilgis daugiau kaip 10 m.. Pravalos dangèio uþdëjimas. Nuotekø nutekëjimo patikrinimas vandens srove. ','',48.3879
2017-01-29,'17.01.29','11:35','12:20','13:10','UAB "Jurita" - d. d. nuo 7-30 iki 16-30, kont. tel. 2426518, 860613838, , 50/2014','Elektra laiptinës skyde',,'Taikos 103','4.2. Avarinio ekipaþo atvykimas pagal iðkvietimà. Elektros instaliacijos ir plombø apþiûra. Srovës  ir átampos parametrø matavimas atskiruose fazëse bei kontaktø patikrinimas. Gedimo pobûdþio ir vietos nustatymas. Kontaktø remontas ir elektros tiekimo atnaujinimas vidaus tinkle laiptinës elektros skyde.','',28.5076
2017-01-29,'17.01.29','12:05','14:05','14:50','UAB "Naujoji Pilaitë" (Tel. 2307414; 865565023) nereaguoti á gyvent.iðkvietim.dël prieðg.sist.), 11','Liejamas butas ið virðaus',,'Ásrûties 22','1.10. Avarinio ekipaþo atvykimas pagal iðkvietimà. Avarinës situacijos patikrinimas ir avarijos pobûdþio nustatymas. Nustatyta, kad neþimiai teka vanduo techn. spintoje ið perdangos tarp 25-29 bt.Reikalingi paruoðiamieji darbai, nuo vandens uþdarymo namuj atsisake.','',18.827600000000003
