'PriemData','pData','Laikas','Pradzia','Pabaiga','Organizacija','avAprasymas','avPranesta','IskvietimoVieta','Darbai','Medziagos','SumaSuPVM'
2017-02-10,'17.02.10','08:30','08:45','08:55','VðÁ Lazdynø poliklinika, _','uþsikimðo pogr. kan. vamzdþiai','Praneðta disp.Antanui','Architektø 17','1.10. Avarinio ekipaþo atvykimas pagal iðkvietimà. Ðulinio dangèio nuëmimas ir uþdëjimas. Avarinës situacijos ávertinimas ir avarijos pobûdþio nustatymas. Nustatyta, kad pilnas kiemo ðulinys.  Praneðimas UAB "Vilniaus vandenys" tel .861611256.','',15.6937
2017-02-10,'17.02.10','10:05','10:25','11:00','194-oji DNSB "Ðeðkinë", _','uþsikimðo pogr. kan. vamzdþiai',,'Èiobiðkio 6','1.5. Avarinio ekipaþo atvykimas pagal iðkvietimà. Nuotekø tinklo apþiûra  ir patikrinimas. Ávadinio ðulinio dangèio atidarymas. Bendro iðvado vamzdþiø valymas elektrine freza, kai skersmuo iki 150 mm., ilgis daugiau kaip 10 m.. Ðulinio dangèio uþdarymas. Nuotekø nutekëjimo patikrinimas vandens srove.','',40.329299999999994
2017-02-10,'17.02.10','13:00','13:10','14:00',' DNSB L.Giros g.86  (Kvieèia tik L. Lekûnaitë ir Valeika, tel. 864797100)','uþsikimðo virt. b. kan. st.d50vamzdþiai',,'L. Giros 86','1.5. Avarinio ekipaþo atvykimas pagal iðkvietimà. Nuotekø tinklo apþiûra  ir patikrinimas. Pravalos dangèio stovui rûsyje nuëmimas atsukant varþtus . Bendro stovo  vamzdþiø valymas elektrine freza, kai skersmuo iki 150 mm., ilgis daugiau kaip 10 m.. Pravalos dangèio uþdëjimas . Nuotekø nutekëjimo patikrinimas. ','',40.329299999999994
2017-02-10,'17.02.10','13:15','13:30','15:00','Nëra sutarties, _','uþsikimðo virt. pogr. kan. vamzdþiai d100',,'Uþupio 13','1.4. Avarinio ekipaþo atvykimas pagal iðkvietimà. Nuotekø tinklo apþiûra  ir patikrinimas. Pravalos dangèio virtuvës grindyse nuëmimas . Virtuvës iðvado vamzdþiø valymas elektrine freza, kai skersmuo iki 150 mm., ilgis iki 10 m.. Pravalos dangèio uþdëjimas. Nuotekø nutekëjimo patikrinimas vandens srove.','',45.9195
2017-02-10,'17.02.10','13:20','13:55','14:30','260-oji DGNSB "Planeta"; ( kvieèia pirmininkas arba santechnikas, 222/16','uþsikimðo pogr. kan. vamzdþiai',,'Þirmûnø 79','1.5. Avarinio ekipaþo atvykimas pagal iðkvietimà. Nuotekø tinklo apþiûra  ir patikrinimas. Pravalos dangèio stovui rûsyje nuëmimas atsukant  varþtus.  Bendro iðvado vamzdþiø valymas elektrine freza, kai skersmuo iki 150 mm., ilgis daugiau kaip 10 m.. Pravalos dangèio uþdëjimas. Nuotekø nutekëjimo patikrinimas.','',40.329299999999994
2017-02-10,'17.02.10','14:10','14:50','15:20','Vðá Vilniaus technologijø ir dizaino kolegija, 65-22/9/2015','uþsikimðo pogr. kan. d100 vamzdþiai',,'Antakalnio 52','1.5. Avarinio ekipaþo atvykimas pagal iðkvietimà. Nuotekø tinklo apþiûra  ir patikrinimas. Trapo dangèio tualeto grindyse nuëmimas . Bendro iðvado vamzdþiø valymas elektrine freza, kai skersmuo iki 150 mm., ilgis daugiau kaip 10 m.. Trapo dangèio uþdëjimas. Nuotekø nutekëjimo patikrinimas vandens srove.','',40.329299999999994
2017-02-10,'17.02.10','15:25','15:40','16:10','740-oji DNSB, 651/13','uþsukimðo b. kan. st. vamzdþiai',,'Neuþmirðtuoliø 18','1.10. Avarinio ekipaþo atvykimas pagal iðkvietimà. Ðulinio dangèio nuëmimas ir uþdëjimas. Avarinës situacijos ávertinimas ir avarijos pobûdþio nustatymas. Nustatyta, kad uþsikimæ vieno kan. stovo vamzdþiai.Nëra priëjimo prie pravalos -manome garaþe. Kvies suradæ priëjimà prie pravalos. ','',15.6937
2017-02-10,'17.02.10','16:50','17:00','17:30','170-oji GNSB, _','uþsikimðo virt. b. kan. std100 vamzdþiai',,'Karaliauèiaus 6','1.5. Avarinio ekipaþo atvykimas pagal iðkvietimà. Nuotekø tinklo apþiûra  ir patikrinimas. Pravalos dangèio stovui rûsyje nuëmimas atsukant. Bendro stovo  vamzdþiø valymas elektrine freza, kai skersmuo iki 150 mm., ilgis daugiau kaip 10 m.. Pravalos dangèio uþdëjimas. Nuotekø nutekëjimo patikrinimas.','',40.329299999999994
2017-02-10,'17.02.10','17:55','18:10','18:45','42-oji DNSB, 283/14','uþsikimðo virt.b. kan. st. d100 vamzdþiai',,'Kalvarijø 294','1.5. Avarinio ekipaþo atvykimas pagal iðkvietimà. Nuotekø tinklo apþiûra  ir patikrinimas. Pravalos dangèio stovui rûsyje nuëmimas atsukant. Bendro stovo  vamzdþiø valymas elektrine freza, kai skersmuo iki 150 mm., ilgis daugiau kaip 10 m.. Pravalos dangèio uþdëjimas. Nuotekø nutekëjimo patikrinimas.','',40.329299999999994
2017-02-10,'17.02.10','18:00','18:35','00:00','740-oji DNSB, 651/13','uþsikimðo b. kan. st. d100vamzdþiai',,'Neuþmirðtuoliø 18','1.5. Avarinio ekipaþo atvykimas pagal iðkvietimà. Nuotekø tinklo apþiûra  ir patikrinimas. Pravalos dangèio stovui garaþe nuëmimas atsukant. Bendro stovo  vamzdþiø valymas elektrine freza, kai skersmuo iki 150 mm., ilgis daugiau kaip 10 m.. Pravalos dangèio uþdëjimas. Nuotekø nutekëjimo patikrinimas.','',40.329299999999994
2017-02-10,'17.02.10','18:10','19:00','19:30','UAB "Euro Asista", 663/13','pravalyti kan. adresu Ðilënø sodø 8-oji g. 32-n/n, tel. 869654842 ',,'Senasis Ukmergës kelias 4 visà miestà','1.1. Avarinio ekipaþo atvykimas pagal iðkvietimà. Nuotekø tinklo apþiûra  ir patikrinimas. Sifono po praustuvu iðardymas ir iðvalymas .Namo vamzdþiø vonioje valymas kai skersmuo iki 100 mm, ilgis iki 5 m su gyvatuku.  Sifono surinkimas ir nuotekø nutekëjimo patikrinimas vandens srove.','',27.2976
