'PriemData','pData','Laikas','Pradzia','Pabaiga','Organizacija','avAprasymas','avPranesta','IskvietimoVieta','Darbai','Medziagos','SumaSuPVM'
2017-11-08,'17.11.08','09:30','09:50','10:35','DNSB Krokuvos g. 13','Uþsikimðo kanalizacija',,'Krokuvos 13','1.3. Avarinio ekipaþo atvykimas pagal iðkvietimà. Nuotekø tinklo apþiûra  ir patikrinimas. Sifono po plautuve iðardymas ir  surinkimas.Pravalëm vietinæ kanalizacija ið virtuvës kai skersmuo iki 100 mm, ilgis iki 5 m su gyvatuku ir nuotekø nutekëjimo patikrinimas vandens srove. ','',27.2976
2017-11-08,'17.11.08','10:10','10:20','11:50','DNSB Geleþinio Vilko g. 3, _','Uþsikimðo kanalizacija',,'Geleþinio vilko 3','1.5. Avarinio ekipaþo atvykimas pagal iðkvietimà. Nuotekø tinklo apþiûra  ir patikrinimas. Pravalos dangèio nuëmimas. Bendro stovo ið 201  buto per pravala vamzdþiø valymas elektrine freza, kai skersmuo iki 150 mm. ilgis daugiau kaip 10 m.. Pravalos dangèio uþdëjimas Nuotekø nutekëjimo patikrinimas vandens srove.','',40.329299999999994
2017-11-08,'17.11.08','10:40','10:50','11:30','243-oji DNSB  "Gedvydþiai"','Uþsikimðo kanalizacija rûsyje.',,'Gedvydþiø 12','1.5. Avarinio ekipaþo atvykimas pagal iðkvietimà. Nuotekø tinklo apþiûra  ir patikrinimas. Pravalos dangèio nuëmimas . Bendro  vamzdþio  ið rûsio valymas su gyvatuku kai skersmuo iki 150 mm., ilgis daugiau kaip 10 m.. Pravalos dangèio uþdëjimas.','',33.1661
2017-11-08,'17.11.08','13:10','14:00','15:00','Nëra sutarties','Uþsikimðo kanalizacija',,'Linksmoji 67','1.1. Avarinio ekipaþo atvykimas pagal iðkvietimà. Nuotekø tinklo apþiûra  ir patikrinimas. Pravalëm bendra kanalizacijos vamzdá ið rûsio per pravala d 100 mm, ilgis iki 10 m su gyvatuku  ir nuotekø nutekëjimo patikrinimas vandens srove.','',32.742599999999994
2017-11-08,'17.11.08','13:40','13:55','14:25','184-oji DNSB  ( Kvieèia tik pirmininkas Ambrazevièius, tel. 867445960), _','Uþsikimðo kanalizacija rûsyje.',,'Taikos 151','1.5. Avarinio ekipaþo atvykimas pagal iðkvietimà. Nuotekø tinklo apþiûra  ir patikrinimas. Pravalos dangèio nuëmimas. Bendro stovo  ið rûsio per pravala grindyse vamzdþiø valymas elektrine freza, kai skersmuo iki 150 mm., ilgis daugiau kaip 10 m.. Pravalos dangèio uþdëjimas, Nuotekø nutekëjimo patikrinimas vandens srove.','',40.329299999999994
2017-11-08,'17.11.08','14:45','15:00','15:30','489-oji DNSB  darbo dienomis nevaþiuoti nuo 8 val. iki 13 val. , _','Sutriko el. tiekimas  butuose.',,'Medeinos 33','4.1. Avarinio ekipaþo atvykimas pagal iðkvietimà. Nebuvo atëjimo ið el. tinklø linijos. Atvykus elektra buvo tiekema.','',15.6937
2017-11-08,'17.11.08','15:05','15:20','16:20','Nëra sutarties','Uþsikimðo kanalizacija.',,'Pakalnuèiø 4','1.5. Avarinio ekipaþo atvykimas pagal iðkvietimà. Nuotekø tinklo apþiûra  ir patikrinimas. Pravalos dangèio nuëmimas ir ávadinio ðulinio dangèio atidarymas. Bendro namo ið rûsio stovo  vamzdþiø valymas elektrine freza, kai skersmuo iki 150 mm., ilgis daugiau kaip 10 m. iki ðulinio. Pravalos dangèio uþdëjimas ir ðulinio dangèio uþdarymas. Nuotekø nutekëjimo patikrinimas vandens srove.','',40.329299999999994
2017-11-08,'17.11.08','15:20','16:10','17:00','Nëra sutarties','Sutriko el. tiekimas bute.',,'Ðv.Stepono 20','4.4. Avarinio ekipaþo atvykimas pagal iðkvietimà. Elektros instaliacijos ir plombø apþiûra. Srovës  ir átampos parametrø matavimas atskiruose fazëse bei kontaktø patikrinimas. Gedimo pobûdþio ir vietos nustatymas. Pakeitëm automatiná iðjungëjà 32A vidaus tinkle el. skydelyje buto.','Jungiklis automat.C16A/1 1 vnt',26.2933
2017-11-08,'17.11.08','15:55','16:10','17:05','Nëra sutarties','Uþsikimðo kanalizacija.',,'Kalvarijø 54','1.2. Avarinio ekipaþo atvykimas pagal iðkvietimà. Nuotekø tinklo apþiûra  ir patikrinimas. Sifono po plautuve iðardymas , nuëmimas. Ávadinio ðulinio dangèio atidarymas ir uþdarymas. Vietinio\x0d\x0a stovo (buto) vamzdþiø valymas kai skersmuo iki 100 mm, ilgis iki 10 m su gyvatuku.  Sifono surinkimas ir nutekëjimo patikrinimas vandens srove.','',32.149700000000006
2017-11-08,'17.11.08','16:50','17:35','18:40','444-oji DNSB, 640/12','Uþsikimðo kanalizacija.',,'Taikos 259','1.5. Avarinio ekipaþo atvykimas pagal iðkvietimà. Nuotekø tinklo apþiûra  ir patikrinimas. Pravalos dangèio nuëmimas. Bendro  vamzdþio valymas ið rûsio per pravala ið grindø su elektrine freza, kai skersmuo iki 150 mm ilgis daugiau kaip 10 m.. Pravalos dangèio uþdëjimas,Nuotekø nutekëjimo patikrinimas vandens srove.','',0
2017-11-08,'17.11.08','18:00','18:10','19:00','UAB "Fabeta " nuo 16 val. 30 min. iki 7 val. 30 min. d.dien.ir visomis nedarbo bei ðvenèiø dienomis.(dël neaiðk. skambinti energetikui - Gintaras Savickas tel. 867472732, 2','Uþsikimðo kanalizacija',,'S. Neries 41','1.4. Avarinio ekipaþo atvykimas pagal iðkvietimà. Nuotekø tinklo apþiûra  ir patikrinimas. Pravalos dangèio nuëmimas. Bendro stovo ið rûsio per pravala vamzdþiø valymas elektrine freza, kai skersmuo iki 150 mm., ilgis iki 10 m.. Pravalos dangèio uþdëjimas,  Nuotekø nutekëjimo patikrinimas vandens srove.','',38.2602
2017-11-08,'17.11.08','18:10','18:30','19:35','939-oji DNSB "Paðilaièiai", _','Uþsikimðo kanalizacija',,'Paðilaièiø 20','1.5. Avarinio ekipaþo atvykimas pagal iðkvietimà. Nuotekø tinklo apþiûra  ir patikrinimas. Ávadinio ðulinio dangèio atidarymas. Valymas elektrine freza ið ðulinio iki namo pastato kai skersmuo iki 150 mm., ilgis daugiau kaip 10 m.  ir ðulinio dangèio uþdarymas. ','',40.329299999999994
2017-11-08,'17.11.08','21:45','22:10','22:55','UAB "Ðilëja " (Tel. 2466644), _','Nëra apðildymo name.',,'Dûkðtø 5','3.2. Avarinio ekipaþo atvykimas pagal iðkvietimà. Ðilumos mazgo apþiûra,  ðildymo ir karðto vandens tiekimo sutrikimo prieþasties nustatymas. Ðilumos kiekio reguliavimas pagal temperatûriná reþimà.  Rubi-seifo  ájungimas ájungimas rûsyje  ðilumos punkte.  ','',27.6727
