Eil. Nr.,Data,Laikas,Avarinė vietos adresas, Pranešėjas,Avarinės vietos aprašymas (kas įvyko),Avarinės tarnybos atlikti darbai,Atžyma apie darbų pabaigą. Data,Atžyma apie darbų pabaigą. Laikas.,
1,2016/02/10,07:09,Oslo g. link miesto priešais Vilniaus Greitosios Pagalbos ligoninės,Rimvydas,"Autoįvykis. Susidūrė keturi automobiliai. Važ. dalyje plastmasinės duženos, išsiliejęs tepalas.","Nurodytu adresu plastmasinės duženospo autoįvykio surinktos ir išvežtos, išiliejęs aušinimo skystis neutralizuotas, panaudota sauso sebento (10 kg).",2016/02/10,07:30,
2,2016/02/10,07:19,"Ukmergės g. prie PC ,,BIG"" link miesto",,Važ. dalyje numušti kelio ženklai.,"Nurodytu adresu vykdomi naujo aplinkkelio kelio darbai. Aptiktos nuverstos keturios vertikalios gairės, kasymo darbų zonoje, pastatytos į vietą.",2016/02/10,08:09,
3,2016/02/10,07:35,Ukmergės g. kylant į kalną,,Laikinųjų kelio ženklų patikrinimas. Žiūrėti įrašą (2016.02.06).,"remonto darbai atlikti, vertikali gairė paimta.",2016/02/10,07:45,
4,2016/02/10,07:40,Lentvario g. 33 važiuojant link miesto,VPK,Važ. dalyje plastmasinės duženos.,Plastmasinės duženos surinktos ir išvežtos.,2016/02/10,08:15,
5,2016/02/10,08:09,S.Batoro g. link Mildos g. po viaduku,BPC ,"Važ. dalyje pribarstyta skaldos, trukdo eismui.",Skaldos likučiai surinkti ir išvežti.,2016/02/10,08:45,
6,2016/02/10,08:40,Graičiūno g. 2B,(Pastebėta pravažiuojant),Važ. gatvės dalyje medinio tašo fragmentas.,Paimtas ir išvežtas.,2016/02/10,08:50,
7,2016/02/10,08:55,Drujos g. prie posūkio link Rasų g. važiuojant nuo stoties,BPC ,Važ. dalyje prie borto bilda šulinio dangtis.,"Nurodytu adresu aptiktas atviras LN trapas. LN trapo grotelės įstatytos į korpusą, laikosi tvirtai.",2016/02/10,09:20,
8,2016/02/10,09:10,Retkonių g. ,,Esamas vyrkelis labai duobėtas.,Nurodytu adresu reikalingi žvyrkelio greideriavimo darbai. Informacija perduota.,,,
9,2016/02/10,09:35,Liepkalnio g. 12,,Laikinujų kelio ženklų patikrinimas. Žiūrėti įrašą (2016.02.07).,"Avarinė situacija nagrinėjama. Signalinės tvorelės paliktos, informacija perduota.",,,
10,2016/02/10,09:50,Žirnių g. 18,(Pastebėta pravažiuojant),Važ. gatvės dalyje pribarstyta pribarstyta statybinių šiukšlių.,Statybinių šiukšlių liekanos surinktos ir išvežtos.,2016/02/10,10:10,
11,2016/02/10,10:15,Dariaus ir Girėno g. link Kapsų g.,,Žal. vejoje atviras šulinys.,"Patikslinus adresą, Kapsų g. 5 aptiktas sulaužytas FN šulinio g/b dangtis. Šulinys uždengtas nauju g/b dangčiu.",2016/02/10,10:40,
12,2016/02/10,10:30,Parko g. prie įvažiavimo link namo Nr. 6,BPC ,"Nustatyta, kad šulinys priklauso FN tinklams. Šulinio korpusas nuvalytas nuo smėlio, dangtis įstatytas į korpusą, laikosi tvirtai.",,2016/02/10,10:55,
13,2016/02/10,11:10,Genių g. 11,,Laikinujų kelio ženklų patikrinimas. Žiūrėti įrašą (2016.01.29).,"Remonto darbai atlikti, signalinė tvorelė paimta.",2016/02/10,11:20,
14,2016/02/10,11:40,Žirmūnų g. 54C,,",,NESTE"" degalinės aikštelėje  LN trapą įkrito automobilio BMV X6 raktai.",Automobilio rakatai sėkmingai ištraukti iš LN trapo ir gražinti šeimininkui.,2016/02/10,,
15,2016/02/10,11:55,Mickevičiaus g. Nr.5 ir Nr. 7,,Važ. dalyje bilda šuliniai.,"Nustatyta, kad šuliniai priklauso FN tinklams. Praeinančioje nurodytu adresu FN tinklų trasoje po keturių šulinių dagčių padėtos sandarimo gumos. Informacija perduota.",,,
