Eil. Nr.,Data,Laikas,Avarinė vietos adresas (ženklo pavadinimas), Darbų vadovas - operatorius,"Avarinės vietos aprašymas (kas įvyko) (kliūtis, važ. dalyje, kieme, šaligatvyje, vejoje)",Pastabos,Atžyma apie darbų pabaigą. Data,
1,2015/08/17,10:09,"Utenos g.41C
(tvorelė)
",K.Skaiva,"Įgriuvęs FN šulinys prie namo. Stovi tvorelė. Ilgą laiką neatliekami remonto darbai. VV darbininkai tikrino šulinį ir informavo 
kad šulinys ne jų balanse. Stovėjusią sulaužytą tvorelė pakeitėm nauja. Informacija perduota.
","2015.10.24
El. paštas
Jurgita.Palionienė@
Vilnius.lt 2016.03.04 pakartotinai perduota VV avarinė tarnyba Tel. 852168892 2016.03.04 VV dispečerė informavo kad šulinys priklauso FN tarnybai, informacija perduota. FN avarinė tarnyba 852168892 
",,
2,2015/08/18,16:00,"Smetonos g. 4 kieme
Įvažiavimas iš Jogailos g.
(2 tvorelės ir STOP juosta)
",V. Andruškevičius,"Prie Jogailos g. 11A pastato kampo atsivėrė smegduobė prie pamatų. Pastatyta dvi tvorelės, apjuosta „Stop“ juosta. Pastato administratoriaus nežinome.","2015.09.15 patikrinta, remonto darbai nepradėti. 
---------------------------
Informacija perduota.
Gintautas.Niaura
@vilnius.lt
2015.10.17
Darbai nepradėti.
2015.11.06 patikrinta, darbai nepradėti.
Info. perduota
Gintautas.Niaura
@vilnius
2015.11.18 patikrinta
darbai nepradėti.
Info. perduota
Gintautas.Niaura
El. paštu
2016.01.09 patikrinta, remonto darbai neatlikti.
",,
3,2015/09/17,07:50,"Agrastų g. 2
[manevrinis dangtis ir vertikali gairė]
",A.Popovas,"TEO tinklų šulinys laikinai uždengtas manevriniu dangčiu ir pastatyta vertikali gairė
-------------------------------------------------
TEO LT vyr. inž. Sergejus pranešė jog šulinys priklauso AB „Lietuvos geležinkeliai“
-------------------------------------------------
AB „Lietuvos geležinkeliai“
861647832 Bangonis informavo jog šulinys jiems nepriklauso.
------------------------------------------------
2015.12.02 UAB ""FEROGAMA""- aikštelės teritorija (kurioje yra nurodytas šulinys) jiems nepriklauso.
","2015.10. 15 patikinta, remonto darbai nepradėti. Informacija perduota.
-------------------------
Danguole.
pakalniskyte
@vilnius.lt
-------------------------
2015.12.02
Danguolė Pakalniškytė
[e-paštas]
",,
4,2015/09/24,17:00,Vokiečių g. 18        (tvorelė ir STOP juosta),A.Biliūnas,Prie namo sienos įgriuva. Šalia praeina FK linija. Pastatyta tvorelė apjuosta „STOP“ juosta,"2015.09.25
FN avarinė tarnyba
Tel. 852192766
informavo jog jų tinklai tvarkingi.  
---------------------------
UAB “Senamiesčio ūkis” Tel. 852627890- pastatas jiems nepriklauso.
---------------------------
G. K. Niaura 
[e-paštas]
",,
5,2015/10/22,10:30,"Žirmūnų g. 58
(tvorelė) 
",A.Biliūnas,"Trūkęs FK šulinio dangtis kieme prie namo.
Pastatyta tvorelė. ","Patikrinta2015.12.29
Darbai neatlikti",,
6,2015/11/12,07:00,"Bukčių g. 72
[tvorelė]",A.Popovas,"Įgriuva virš Vilniaus energija šilumos kameros, stovėjimo aikštelėje
--------------------------------------------------------
Šilumos tinklų „ENERGIJA“ Avarinė tarnyba, disp. Karalius informavo, jog tinklai jiems nepriklauso","2015.12.18
Šilumos tinklų „ENERGIJA“ Avarinė tarnyba, disp. Narbutas pranešė jog nurodytu adresu šilumos tinklai jiems niekada nepriklausė. Tinklai likę nuo sovietinių laikų veikusios gamyklos.
",,
7,2015/12/02,15:30,"Antakalnio g. tarp Nr. 62 ir Nr. 64
[vertikali gairė]
",A.Popovas,"Įgriūva prie LN šulinio važiuojamoje gatvės dalyje, kieme","2015.12.03 patikrinta, pasak LN tarnybos  vadovo R.Zaborovskio , 
Įgriuva formuojasi prie 
FN tinklų šulinio.
Informacija perduota.
FN avarinė
disp. Urbonienė
2192766",,
8,2015/12/09,09:00,V. Žalakevičiaus g. 4D (tvorelė),A.Biliūnas,"Žaliojoje vejoje prie V. energijos šulinio įgriuva.
Pastatyta tvorelė","Patikrinta. 2015.12.29
Darbai neatlikti.",Darbai atlikti                   2016.03.02,
9,2015/12/17,16:45,"Juodasis kelias Nedavažiavus autobusų apsisukimo žiedo. BPC
(vertikali gairė)",A.Biliūnas,Pastatyta prie perkasos ,"2015.12.18 patikrinta, vertikali gairė palikta.
Patikrinta 2015.12.29 vert. Gairė palikta.                          Patikrinta 2016.02.11             Gairė palikta.
",Darbai atlikti                     2016.02.23,
10,2015/12/25,15:00,Sodų g. 22           (vertikali gairė),A.Biliūnas,Nusėdęs šulinio dangtis į vidų Šulinys vandentiekio avarinės,,"Darbai atlikti laikinas ženklas paimtas, išvežtas.            2016.02.19",
